,log2FoldChange,pvalue,padj,significant,mean_log2_expression
CCDC170,1.2467602030810774,1.5415691669769612e-07,8.160239293734834e-06,True,1.4179614109321002
ACSM5,1.410466860276019,1.5610752745710545e-07,8.209228573757292e-06,True,1.7727304589083803
TRPC6,1.2112005453802979,1.5583408453831602e-07,8.209228573757292e-06,True,1.7936709311195984
CDC20,-2.215048980280116,1.6038052557146135e-07,8.412083214300017e-06,True,3.6984788794442625
IGF1,1.5633374851639248,1.6372384121384733e-07,8.565252943709438e-06,True,3.8065645232168728
OGN,1.460715325743621,1.6509038788589726e-07,8.614484518396588e-06,True,2.0742486934628626
GPD1,2.1956450743533193,1.6690326676594652e-07,8.664419330623981e-06,True,3.1827278288589174
SOX4,-1.885131572155749,1.667029686855205e-07,8.664419330623981e-06,True,4.976031419924714
FBXL7,1.0804666200228588,1.6849984894411794e-07,8.724930797244532e-06,True,3.0841055733948584
GLDN,1.4561048000676236,1.714704937679087e-07,8.856101063329283e-06,True,1.7834656309615287
LLGL2,-1.3891792492059425,1.7202278608278804e-07,8.862018643847651e-06,True,5.682354534964954
GAREM,1.2614171172368396,1.7650596337239645e-07,9.04693603655073e-06,True,2.6643229533484836
HDGF,-1.4592769405031856,1.8040555750001603e-07,9.200229010441624e-06,True,6.505057697359819
LDB2,1.7132554915489027,1.8281480550982725e-07,9.299669729527545e-06,True,3.6850344849374275
CKS2,-1.94387612585429,1.9372350105066357e-07,9.829889730004348e-06,True,2.8929124291180623
GAS7,1.2552177708471097,1.9574585412327547e-07,9.907676406449588e-06,True,4.542289840762934
RAPGEF3,1.4384780054881001,1.963360587320395e-07,9.912767693488458e-06,True,4.666513947617452
SLC17A7,1.1429174470005339,2.088052322888431e-07,1.0464036467623558e-05,True,1.448486838062345
COL17A1,2.7274171546830885,2.1010621771034841e-07,1.0502281177499899e-05,True,3.685805042611943
NUP210,-1.6005747882984802,2.1086833930684615e-07,1.0502281177499899e-05,True,4.280902726186042
RELN,1.6136614580309925,2.1112458951113594e-07,1.0502281177499899e-05,True,1.6893002913391533
SAPCD2,-1.466104477962629,2.1230429959134053e-07,1.0535080513544804e-05,True,2.961596739324842
TFPI,1.369719312854313,2.1307756038654514e-07,1.0547599725149127e-05,True,4.887107702090628
KRBOX1,2.1962568930196165,2.1615902572076562e-07,1.0674038133518587e-05,True,5.486198059679952
CES1,1.8848845704733765,2.1679362316731284e-07,1.0679327724198091e-05,True,2.7050640790399507
STK32B,1.0349252579877668,2.1903419876716693e-07,1.0763510651068111e-05,True,1.5502069589278562
RASSF8,1.0367124866694515,2.207009486508423e-07,1.0793022720736603e-05,True,3.297087972165466
EDNRB,1.3452964315501312,2.2038687284638437e-07,1.0793022720736603e-05,True,2.250351368706097
DTL,-1.6333816502359995,2.240218976849866e-07,1.0929029736217442e-05,True,2.2324352216240713
TAP1,-1.3382736436737268,2.2932218811779837e-07,1.116071399190612e-05,True,5.146484182780361
SDHD,2.2850936117768432,2.3484719556271515e-07,1.1374919429097442e-05,True,8.537689838076197
PID1,1.4771395588897522,2.3444335341154736e-07,1.1374919429097442e-05,True,2.687048720164678
LRFN5,1.2063104953354913,2.4052248751038363e-07,1.1603369534870593e-05,True,1.2896789853949173
RORA,1.4227724015913235,2.407100269013953e-07,1.1603369534870593e-05,True,4.58370127793854
FOXP4,-1.268706025687421,2.47703453455851e-07,1.1912123797309168e-05,True,4.850555170791844
PTGER3,1.1558529155211152,2.5319331812990364e-07,1.2118562455929147e-05,True,2.9159343821954145
PLA2R1,1.2099596600643499,2.67623877796636e-07,1.2719044671057965e-05,True,2.819562591714927
PLOD1,-1.2538781651448625,2.7274860383960793e-07,1.2932244106174946e-05,True,5.517161616670711
HIST1H2BM,-2.165314159535119,2.7717346460809645e-07,1.3080778471924291e-05,True,3.3895728790109363
CLEC3B,2.2671571821111014,2.7669318995922897e-07,1.3080778471924291e-05,True,3.729286396626451
SLC25A10,1.9421337077361818,2.8038516588391e-07,1.3201576903454981e-05,True,8.362149898127056
GPIHBP1,1.3257738123397027,2.8352300599289454e-07,1.3297567360033112e-05,True,1.636631735513866
